State,Official.Number.Estimate,Official.Number.Margin.of.error,Official.Percent.Estimate,Official.Percent.Margin.of.error,SPM.Number.Estimate,SPM.Number.Margin.of.error,SPM.Percent.Estimate,SPM.Percent.Margin.of.error
United States,"43,533",537,13.7,0.2,"46,748",531,14.7,0.2
Alabama,807,73,16.8,1.6,696,63,14.5,1.4
Alaska,79,9,11.2,1.2,82,7,11.7,1
Arizona,"1,226",71,18.1,1.1,"1,205",74,17.8,1.1
Arkansas,493,32,16.8,1.1,430,36,14.7,1.3
California,"5,671",220,14.5,0.6,"7,955",226,20.4,0.6
Colorado,557,67,10.2,1.3,611,62,11.2,1.2
Connecticut,328,42,9.2,1.2,428,45,12,1.3
Delaware,106,10,11.2,1.1,110,10,11.6,1.1
District of Columbia,117,7,17.3,1,141,8,21,1.2
Florida,"3,068",150,15.2,0.7,"3,779",173,18.8,0.9
Georgia,"1,697",104,16.8,1,"1,629",104,16.1,1
Hawaii,143,16,10.3,1.2,204,16,14.8,1.2
Idaho,197,19,11.9,1.2,165,21,10,1.2
Illinois,"1,554",106,12.2,0.8,"1,701",111,13.4,0.9
Indiana,867,73,13.3,1.2,823,73,12.7,1.1
Iowa,314,30,10.1,1,273,25,8.8,0.8
Kansas,357,34,12.5,1.2,286,30,10,1
Kentucky,794,63,18.2,1.5,653,48,15,1.1
Louisiana,943,51,20.6,1.1,843,64,18.4,1.4
Maine,175,20,13.2,1.5,153,18,11.6,1.4
Maryland,525,57,8.9,1,798,74,13.5,1.3
Massachusetts,779,62,11.6,0.9,925,76,13.7,1.1
Michigan,"1,271",85,12.9,0.9,"1,168",79,11.8,0.8
Minnesota,449,57,8.2,1,434,58,8,1.1
Mississippi,614,42,20.8,1.4,499,33,16.9,1.1
Missouri,657,71,11.1,1.2,670,70,11.3,1.2
Montana,122,14,11.9,1.4,113,13,11.1,1.3
Nebraska,198,20,10.6,1.1,184,19,9.8,1
Nevada,383,38,13.3,1.3,427,40,14.8,1.4
New Hampshire,91,12,6.9,0.9,115,13,8.8,1
New Jersey,949,96,10.7,1.1,"1,365",102,15.3,1.1
New Mexico,391,35,19.2,1.7,320,23,15.7,1.1
New York,"2,625",135,13.4,0.7,"3,143",140,16,0.7
North Carolina,"1,517",99,15.3,1,"1,376",89,13.8,0.9
North Dakota,78,10,10.5,1.4,79,6,10.5,0.9
Ohio,"1,644",105,14.3,0.9,"1,350",98,11.8,0.8
Oklahoma,590,60,15.3,1.6,492,58,12.8,1.5
Oregon,513,62,12.7,1.5,522,53,12.9,1.3
Pennsylvania,"1,511",106,12,0.8,"1,442",106,11.5,0.9
Rhode Island,120,14,11.5,1.3,111,13,10.6,1.3
South Carolina,720,55,14.9,1.1,660,50,13.7,1
South Dakota,117,15,13.7,1.9,97,11,11.4,1.3
Tennessee,"1,033",79,15.7,1.2,952,75,14.4,1.1
Texas,"4,074",190,14.9,0.7,"4,017",205,14.7,0.8
Utah,281,38,9.4,1.3,283,36,9.4,1.2
Vermont,61,7,9.9,1.1,53,6,8.6,1
Virginia,891,89,10.8,1.1,"1,230",97,15,1.2
Washington,825,65,11.5,0.9,843,78,11.7,1.1
West Virginia,321,48,17.7,2.7,255,23,14.1,1.3
Wisconsin,635,54,11,0.9,600,60,10.4,1.1
Wyoming,58,8,10.1,1.3,57,7,9.9,1.3
